"ClientID","OctopusExternalClientID"
"4293","322"
"4297","309"
"1462","17"
"2671","293"
"0010","230"
"3088","257"
"3085","5"
"591","72"
"3083","249"
"472","35"
"0006","23"
"1458","142"
"3515","11"
"0488","214"
"2788","24"
"476","107"
"2303","183"
"0489","134"
"0002","290"
"3512","160"
"1454","44"
"1696","32"
"3511","15"
"0487","331"
"1695","289"
"0484","56"
"2662","41"
"1331","122"
"10","230"
"3093","271"
"12","174"
"3090","272"
"481","146"
"120","201"
"484","56"
"0810","233"
"2","23"
"1226","100"
"3525","76"
"1104","11"
"487","133"
"488","214"
"3523","87"
"2676","220"
"0013","260"
"3522","34"
"1102","120"
"6","141"
"1585","123"
"2674","277"
"0011","324"
"1100","268"
"2673","78"
"0012","174"
"3641","131"
"1903","119"
"0813","50"
"1902","28"
"3407","300"
"0812","47"
"3540","66"
"3538","55"
"2328","83"
"2687","46"
"3413","296"
"1598","157"
"3412","308"
"810","233"
"3410","288"
"1353","135"
"1595","284"
"812","47"
"813","50"
"3657","304"
"3672","327"
"3673","166"
"1130","193"
"3306","27"
"3304","276"
"1005","274"
"1486","219"
"1001","42"
"40","65"
"2909","81"
"3200","255"
"1143","102"
"1141","106"
"3316","284"
"2226","114"
"1012","99"
"1937","259"
"53","213"
"3319","117"
"3331","283"
"2363","224"
"1394","223"
"3330","289"
"2120","126"
"1393","281"
"0182","112"
"1943","4"
"3327","270"
"3203","254"
"2234","13"
"1144","77"
"1709","256"
"1707","274"
"4413","325"
"62","282"
"1825","242"
"1703","237"
"4417","326"
"2011","198"
"2495","60"
"3462","307"
"3460","291"
"3580","111"
"0070","36"
"3459","12"
"0620","158"
"3458","152"
"3579","94"
"3578","99"
"1037","222"
"1157","181"
"3577","109"
"0066","115"
"1035","48"
"1034","297"
"2809","299"
"70","36"
"0629","82"
"4304","310"
"4425","330"
"0626","133"
"0624","18"
"79","247"
"3475","303"
"2264","29"
"3353","88"
"3110","221"
"182","70"
"3472","304"
"3593","168"
"2933","33"
"0512","75"
"0631","203"
"3469","7"
"620","158"
"1047","285"
"2013","163"
"3223","114"
"2376","151"
"624","72"
"626","42"
"2939","93"
"2938","119"
"0519","140"
"2937","238"
"4316","313"
"629","82"
"2936","316"
"2935","240"
"1604","186"
"4318","311"
"2034","167"
"3001","9"
"1064","137"
"2272","244"
"1062","147"
"3482","228"
"2943","81"
"2821","95"
"2942","232"
"3915","202"
"2941","236"
"3238","220"
"631","203"
"2940","211"
"512","75"
"1970","292"
"2949","2949"
"0527","261"
"0646","321"
"2703","12"
"4340","317"
"1077","302"
"0780","144"
"3010","159"
"3924","243"
"2712","169"
"3925","252"
"0535","58"
"2711","20"
"3926","237"
"3927","236"
"2951","17"
"1620","5"
"1862","162"
"3928","231"
"1069","91"
"3929","229"
"0531","8"
"1067","28"
"2035","247"
"527","261"
"0539","171"
"3921","263"
"0536","84"
"3266","262"
"2175","96"
"2174","128"
"0666","98"
"2721","279"
"0786","301"
"3017","278"
"2048","194"
"1079","185"
"535","58"
"536","84"
"539","171"
"3930","234"
"1518","208"
"2847","280"
"4365","312"
"4003","306"
"1097","3"
"3396","302"
"0435","89"
"0557","33"
"0678","178"
"3028","245"
"1642","91"
"786","301"
"3027","130"
"544","129"
"0674","30"
"666","98"
"2971","258"
"1089","118"
"3267","61"
"669","67"
"2979","241"
"3288","52"
"0570","273"
"3286","125"
"3283","25"
"3040","22"
"3715","249"
"2746","116"
"1414","217"
"0568","139"
"0565","105"
"674","30"
"435","89"
"3279","267"
"556","260"
"557","33"
"678","221"
"2189","6"
"4246","288"
"4247","277"
"1418","87"
"0448","2"
"3835","226"
"3291","265"
"3290","21"
"4261","96"
"4263","305"
"0460","79"
"0461","204"
"3296","287"
"3054","253"
"3293","269"
"1547","1"
"0699","264"
"2514","298"
"2753","43"
"565","105"
"3049","286"
"2751","14"
"567","252"
"0572","251"
"568","139"
"2750","250"
"448","2"
"4379","333"
"0459","38"
"1306","212"
"4395","323"
"4277","295"
"1681","62"
"0472","35"
"2890","164"
"0591","72"
"570","273"
"3062","246"
"2093","294"
"4270","315"
"572","251"
"2766","4"
"0466","45"
"3612","129"
"2400","73"
"699","264"
"2762","117"
"2883","239"
"0462","95"
"459","38"
"4282","303"
"4044","275"
"0120","201"
"0483","151"
"3199","218"
"0481","190"
"460","13"
"4280","52"
"461","204"
"462","95"
"2414","270"
"1324","161"
"2776","110"
"466","45"
"2895","210"
"0476","31"
"3500","332"
"2773","27"
"3628","153"
"3627","136"
